shift,multiply,caesar,multiplicative,result
22,21,uch qx oqh ol hdsh upszc iosd,ykl sj csl cr lfil yxizk gcif,ykl sj csl cr lfil yxizk gcif
23,21,vdi ry pri pm ieti vqtad jpte,tfg ne xng xm gadg tsduf bxda,tfg ne xng xm gadg tsduf bxda
24,21,wej sz qsj qn jfuj wrube kquf,oab iz sib sh bvyb onypa wsyv,oab iz sib sh bvyb onypa wsyv
25,21,xfk ta rtk ro kgvk xsvcf lrvg,jvw du ndw nc wqtw jitkv rntq,jvw du ndw nc wqtw jitkv rntq
1,23,zhm vc tvm tq mixm zuxeh ntxi,zbm lq rlm ra myfm zofkb jrfy,zbm lq rlm ra myfm zofkb jrfy
2,23,ain wd uwn ur njyn avyfi ouyj,wyj in oij ox jvcj wlchy gocv,wyj in oij ox jvcj wlchy gocv
3,23,bjo xe vxo vs okzo bwzgj pvzk,tvg fk lfg lu gszg tizev dlzs,tvg fk lfg lu gszg tizev dlzs
4,23,ckp yf wyp wt plap cxahk qwal,qsd ch icd ir dpwd qfwbs aiwp,qsd ch icd ir dpwd qfwbs aiwp
5,23,dlq zg xzq xu qmbq dybil rxbm,npa ze fza fo amta nctyp xftm,npa ze fza fo amta nctyp xftm
6,23,emr ah yar yv rncr ezcjm sycn,kmx wb cwx cl xjqx kzqvm ucqj,kmx wb cwx cl xjqx kzqvm ucqj
7,23,fns bi zbs zw sods fadkn tzdo,hju ty ztu zi ugnu hwnsj rzng,hju ty ztu zi ugnu hwnsj rzng
8,23,got cj act ax tpet gbelo uaep,egr qv wqr wf rdkr etkpg owkd,egr qv wqr wf rdkr etkpg owkd
9,23,hpu dk bdu by uqfu hcfmp vbfq,bdo ns tno tc oaho bqhmd ltha,bdo ns tno tc oaho bqhmd ltha
10,23,iqv el cev cz vrgv idgnq wcgr,yal kp qkl qz lxel yneja iqex,yal kp qkl qz lxel yneja iqex
11,23,jrw fm dfw da wshw jehor xdhs,vxi hm nhi nw iubi vkbgx fnbu,vxi hm nhi nw iubi vkbgx fnbu
12,23,ksx gn egx eb xtix kfips yeit,suf ej kef kt fryf shydu ckyr,suf ej kef kt fryf shydu ckyr
14,23,muz ip giz gd zvkz mhkru agkv,moz yd eyz en zlsz mbsxo wesl,moz yd eyz en zlsz mbsxo wesl
15,23,nva jq hja he awla nilsv bhlw,jlw va bvw bk wipw jypul tbpi,jlw va bvw bk wipw jypul tbpi
16,23,owb kr ikb if bxmb ojmtw cimx,git sx yst yh tfmt gvmri qymf,git sx yst yh tfmt gvmri qymf
17,23,pxc ls jlc jg cync pknux djny,dfq pu vpq ve qcjq dsjof nvjc,dfq pu vpq ve qcjq dsjof nvjc
18,23,qyd mt kmd kh dzod qlovy ekoz,acn mr smn sb nzgn apglc ksgz,acn mr smn sb nzgn apglc ksgz
19,23,rze nu lne li eape rmpwz flpa,xzk jo pjk py kwdk xmdiz hpdw,xzk jo pjk py kwdk xmdiz hpdw
20,23,saf ov mof mj fbqf snqxa gmqb,uwh gl mgh mv htah ujafw emat,uwh gl mgh mv htah ujafw emat
21,23,tbg pw npg nk gcrg toryb hnrc,rte di jde js eqxe rgxct bjxq,rte di jde js eqxe rgxct bjxq
22,23,uch qx oqh ol hdsh upszc iosd,oqb af gab gp bnub oduzq ygun,oqb af gab gp bnub oduzq ygun
23,23,vdi ry pri pm ieti vqtad jpte,lny xc dxy dm ykry larwn vdrk,lny xc dxy dm ykry larwn vdrk
24,23,wej sz qsj qn jfuj wrube kquf,ikv uz auv aj vhov ixotk saoh,ikv uz auv aj vhov ixotk saoh
25,23,xfk ta rtk ro kgvk xsvcf lrvg,fhs rw xrs xg sels fulqh pxle,fhs rw xrs xg sels fulqh pxle
1,25,zhm vc tvm tq mixm zuxeh ntxi,zrm dw fdm fi mqbm zebur lfbq,zrm dw fdm fi mqbm zebur lfbq
2,25,ain wd uwn ur njyn avyfi ouyj,yql cv ecl eh lpal ydatq keap,yql cv ecl eh lpal ydatq keap
3,25,bjo xe vxo vs okzo bwzgj pvzk,xpk bu dbk dg kozk xczsp jdzo,xpk bu dbk dg kozk xczsp jdzo
4,25,ckp yf wyp wt plap cxahk qwal,woj at caj cf jnyj wbyro icyn,woj at caj cf jnyj wbyro icyn
5,25,dlq zg xzq xu qmbq dybil rxbm,vni zs bzi be imxi vaxqn hbxm,vni zs bzi be imxi vaxqn hbxm
6,25,emr ah yar yv rncr ezcjm sycn,umh yr ayh ad hlwh uzwpm gawl,umh yr ayh ad hlwh uzwpm gawl
7,25,fns bi zbs zw sods fadkn tzdo,tlg xq zxg zc gkvg tyvol fzvk,tlg xq zxg zc gkvg tyvol fzvk
8,25,got cj act ax tpet gbelo uaep,skf wp ywf yb fjuf sxunk eyuj,skf wp ywf yb fjuf sxunk eyuj
9,25,hpu dk bdu by uqfu hcfmp vbfq,rje vo xve xa eite rwtmj dxti,rje vo xve xa eite rwtmj dxti
10,25,iqv el cev cz vrgv idgnq wcgr,qid un wud wz dhsd qvsli cwsh,qid un wud wz dhsd qvsli cwsh
11,25,jrw fm dfw da wshw jehor xdhs,phc tm vtc vy cgrc purkh bvrg,phc tm vtc vy cgrc purkh bvrg
12,25,ksx gn egx eb xtix kfips yeit,ogb sl usb ux bfqb otqjg auqf,ogb sl usb ux bfqb otqjg auqf
14,25,muz ip giz gd zvkz mhkru agkv,mez qj sqz sv zdoz mrohe ysod,mez qj sqz sv zdoz mrohe ysod
15,25,nva jq hja he awla nilsv bhlw,ldy pi rpy ru ycny lqngd xrnc,ldy pi rpy ru ycny lqngd xrnc
16,25,owb kr ikb if bxmb ojmtw cimx,kcx oh qox qt xbmx kpmfc wqmb,kcx oh qox qt xbmx kpmfc wqmb
17,25,pxc ls jlc jg cync pknux djny,jbw ng pnw ps walw joleb vpla,jbw ng pnw ps walw joleb vpla
18,25,qyd mt kmd kh dzod qlovy ekoz,iav mf omv or vzkv inkda uokz,iav mf omv or vzkv inkda uokz
19,25,rze nu lne li eape rmpwz flpa,hzu le nlu nq uyju hmjcz tnjy,hzu le nlu nq uyju hmjcz tnjy
20,25,saf ov mof mj fbqf snqxa gmqb,gyt kd mkt mp txit gliby smix,gyt kd mkt mp txit gliby smix
21,25,tbg pw npg nk gcrg toryb hnrc,fxs jc ljs lo swhs fkhax rlhw,fxs jc ljs lo swhs fkhax rlhw
22,25,uch qx oqh ol hdsh upszc iosd,ewr ib kir kn rvgr ejgzw qkgv,ewr ib kir kn rvgr ejgzw qkgv
23,25,vdi ry pri pm ieti vqtad jpte,dvq ha jhq jm qufq difyv pjfu,dvq ha jhq jm qufq difyv pjfu
24,25,wej sz qsj qn jfuj wrube kquf,cup gz igp il ptep chexu oiet,cup gz igp il ptep chexu oiet
25,25,xfk ta rtk ro kgvk xsvcf lrvg,bto fy hfo hk osdo bgdwt nhds,bto fy hfo hk osdo bgdwt nhds
